theta1,theta2,x,y
-89.0,104.0,9.8337823273,-7.4102865006
-89.0,105.0,9.7871410238,-7.2421033934
-89.0,106.0,9.737571624,-7.0747599044
-89.0,107.0,9.6850892274,-6.9083070079
-89.0,108.0,9.6297098204,-6.742795407
-89.0,109.0,9.5714502723,-6.5782755183
-89.0,110.0,9.5103283294,-6.4147974561
-89.0,111.0,9.4463626101,-6.2524110174
-89.0,112.0,9.3795725989,-6.0911656667
-89.0,113.0,9.3099786408,-5.9311105208
-89.0,114.0,9.2376019348,-5.7722943342
-89.0,115.0,9.1624645274,-5.6147654837
-89.0,116.0,9.0845893063,-5.4585719542
-89.0,117.0,9.003999993,-5.3037613237
-89.0,118.0,8.9207211358,-5.1503807491
-89.0,119.0,8.8347781022,-4.9984769516
-89.0,120.0,8.7461970714,-4.8480962025
-88.0,-120.0,-8.4804809616,-5.2991926423
-88.0,-119.0,-8.5610702749,-5.4540032728
-88.0,-118.0,-8.638945496,-5.6101968023
-88.0,-117.0,-8.7140829034,-5.7677256528
-88.0,-116.0,-8.7864596094,-5.9265418394
-88.0,-115.0,-8.8560535675,-6.0865969853
-88.0,-114.0,-8.9228435787,-6.247842336
-88.0,-113.0,-8.986809298,-6.4102287747
-88.0,-112.0,-9.0479312409,-6.5737068369
-88.0,-111.0,-9.106190789,-6.7382267256
-88.0,-110.0,-9.161570196,-6.9037383265
-88.0,-109.0,-9.2140525926,-7.070191223
-88.0,-108.0,-9.2636219924,-7.237534712
-88.0,-107.0,-9.3102632959,-7.4057178192
-88.0,-106.0,-9.3539622958,-7.5746893142
-88.0,-105.0,-9.3947056809,-7.7443977268
-88.0,-104.0,-9.4324810403,-7.914791362
-88.0,-103.0,-9.4672768675,-8.0858183164
-88.0,-102.0,-9.4990825631,-8.2574264935
-88.0,-101.0,-9.527888439,-8.4295636198
-88.0,-100.0,-9.5536857204,-8.6021772606
-88.0,-99.0,-9.5764665494,-8.7752148361
-88.0,-98.0,-9.5962239867,-8.9486236375
-88.0,-97.0,-9.6129520139,-9.1223508427
-88.0,-96.0,-9.6266455356,-9.2963435328
-88.0,-95.0,-9.6373003805,-9.4705487078
-88.0,-94.0,-9.6449133032,-9.6449133032
-88.0,-93.0,-9.6494819846,-9.8193842058
-88.0,-92.0,-9.651005033,-9.9939082702
-88.0,-91.0,-9.6494819846,-10.1684323346
-88.0,-90.0,-9.6449133032,-10.3429032372
-88.0,-89.0,-9.6373003805,-10.5172678326
-88.0,-88.0,-9.6266455356,-10.6914730076
-88.0,-87.0,-9.6129520139,-10.8654656977
-88.0,-86.0,-9.5962239867,-11.0391929029
-88.0,-85.0,-9.5764665494,-11.2126017043
-88.0,-84.0,-9.5536857204,-11.3856392798
-88.0,-83.0,-9.527888439,-11.5582529206
-88.0,-82.0,-9.4990825631,-11.7303900469
-88.0,-81.0,-9.4672768675,-11.901998224
-88.0,-80.0,-9.4324810403,-12.0730251784
-88.0,-79.0,-9.3947056809,-12.2434188136
-88.0,-78.0,-9.3539622958,-12.4131272262
-88.0,-77.0,-9.3102632959,-12.5820987212
-88.0,-76.0,-9.2636219924,-12.7502818284
-88.0,-75.0,-9.2140525926,-12.9176253174
-88.0,-74.0,-9.161570196,-13.0840782139
-88.0,-73.0,-9.106190789,-13.2495898148
-88.0,-72.0,-9.0479312409,-13.4141097035
-88.0,-71.0,-8.986809298,-13.5775877657
-88.0,-70.0,-8.9228435787,-13.7399742044
-88.0,-69.0,-8.8560535675,-13.9012195551
-88.0,-68.0,-8.7864596094,-14.061274701
-88.0,-67.0,-8.7140829034,-14.2200908876
-88.0,-66.0,-8.638945496,-14.3776197381
-88.0,-65.0,-8.5610702749,-14.5338132676
-88.0,-64.0,-8.4804809616,-14.6886238981
-88.0,-63.0,-8.3972021044,-14.8420044727
-88.0,-62.0,-8.3112590708,-14.9939082702
-88.0,-61.0,-8.22267804,-15.1442890193
-88.0,-60.0,-8.1314859946,-15.2931009125
-88.0,-59.0,-8.0377107125,-15.4402986204
-88.0,-58.0,-7.9413807586,-15.5858373049
-88.0,-57.0,-7.8425254759,-15.7296726337
-88.0,-56.0,-7.7411749767,-15.8717607931
-88.0,-55.0,-7.6373601335,-16.0120585017
-88.0,-54.0,-7.5311125691,-16.1505230235
-88.0,-53.0,-7.4224646476,-16.2871121807
-88.0,-52.0,-7.3114494642,-16.4217843671
-88.0,-51.0,-7.1981008352,-16.5544985601
-88.0,-50.0,-7.0824532878,-16.6852143338
-88.0,-49.0,-6.9645420492,-16.8138918708
-88.0,-48.0,-6.8444030364,-16.9404919748
-88.0,-47.0,-6.7220728449,-17.0649760821
-88.0,-46.0,-6.5975887376,-17.1873062736
-88.0,-45.0,-6.4709886336,-17.3074452864
-88.0,-44.0,-6.3423110966,-17.425356525
-88.0,-43.0,-6.2115953229,-17.5410040724
-88.0,-42.0,-6.0788811299,-17.6543527014
-88.0,-41.0,-5.9442089435,-17.7653678848
